objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
In the Hall of the Mountain King: Champions Mini-Expansion,297693,7,0,0,1,0,0,0,0,0,0,0,3,,,,,,72595885,5.5847,7.59322,2.6667,0,1066,thing,In the Hall of the Mountain King: Champions Mini-Expansion,1,5,90,90,90,2019,"2,3,4",4,10,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
In the Hall of the Mountain King: Cursed Mountain,296636,6.8,0,0,1,0,0,0,0,0,0,0,3,,,,,,72595876,5.63297,7.07209,2.75,0,2371,thing,In the Hall of the Mountain King: Cursed Mountain,1,5,0,0,0,2019,"1,2,3,4","1,2",12+,,,,,,,expansion,,,,,,,,,,,,,,,
In the Hall of the Mountain King: Tantrum House Promo Cards,290524,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126312436,0,7.17857,3,0,115,thing,In the Hall of the Mountain King: Tantrum House Promo Cards,1,5,90,90,75,2019,"2,3,4,5",4,,,,,,,,expansion,,,,,,,,,,,,,,,
In the Year of the Dragon,31594,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,74118124,6.99898,7.29144,3.0779,493,11590,thing,In the Year of the Dragon,2,5,100,100,75,2007,"2,3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
In the Year of the Dragon: The Great Wall of China & The Super Events,165348,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90994258,5.63985,7.28319,2.5,0,827,thing,In the Year of the Dragon: The Great Wall of China & The Super Events,2,5,75,75,75,2009,"3,4,5",5,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
In this way I become a DICTATOR,281144,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107696602,5.53065,7.1,1.6667,16301,87,thing,In this way I become a DICTATOR,4,12,40,40,20,2018,,,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
In Too Deep,408368,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,138233224,5.53037,6.87941,1.5,16367,141,thing,In Too Deep,2,4,30,30,30,2023,"2,3,4","3,4",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Indian Summer,233678,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126322959,6.28873,6.75543,2.1529,1881,7080,thing,Indian Summer,1,4,60,60,15,2017,"1,2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Indonesia,19777,10,1,0,1,0,0,0,0,0,0,0,3,,,,,,131834086,7.15563,7.90455,3.9825,341,6142,thing,Indonesia,2,5,240,240,180,2005,"3,4,5",4,16+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Indulgence,215308,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100143438,5.8624,6.77895,1.8333,4136,1827,thing,Indulgence,3,4,60,60,40,2017,"3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Inflation!,282255,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,128136657,5.69535,7.0287,1.6667,6327,644,thing,Inflation!,3,4,20,20,20,2019,"3,4",4,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Influentia,311191,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126320325,5.54226,6.41416,2.2,14152,454,thing,Influentia,3,4,45,45,45,2020,"3,4",4,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ingenious,9674,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,91768964,6.88989,7.09623,1.9055,627,23513,thing,Ingenious,1,4,45,45,30,2004,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Inheritors,367476,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,100011555,5.77942,6.99981,2,4985,1440,thing,Inheritors,2,4,45,45,30,2022,"2,3,4",2,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Inis,155821,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,85898517,7.53101,7.81561,2.9417,122,29066,thing,Inis,2,4,90,90,60,2016,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Inis: Seasons of Inis,255588,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87892917,6.56105,8.17175,3,0,6986,thing,Inis: Seasons of Inis,2,5,90,90,90,2019,"2,3,4,5","3,4,5",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Inside Job,324914,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107774264,6.22707,7.0003,1.6604,2116,4611,thing,Inside Job,2,5,30,30,20,2022,"3,4,5","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Inside Man,280483,6.8,0,0,1,0,0,0,0,0,0,0,3,,,,,,75744101,0,7.5,1,0,25,thing,Inside Man,3,3,10,10,5,2019,3,3,,,,,,,,standalone,,,,,,,,,,,,,,,
Insider,206051,6,0,0,1,0,0,0,0,0,0,0,3,,,,,,72617238,6.52419,7.02411,1.1111,1256,9069,thing,Insider,4,8,15,15,15,2016,"4,5,6,7,8","5,6",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Insidious Sevens,84864,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,126326050,5.51466,6.11368,1.7778,20828,189,thing,Insidious Sevens,2,5,30,30,30,2010,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Instant Hero Squadron,435673,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,131994555,0,6.4,0,0,54,thing,Instant Hero Squadron,2,5,45,45,20,2024,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Intarsia,422126,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315567,6.04925,7.10654,2.0312,2895,2973,thing,Intarsia,2,4,60,60,40,2024,"2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Interspace Conference on Earth,351907,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,134024955,0,6.3,0,0,38,thing,Interspace Conference on Earth,2,5,30,30,20,2021,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Inventions: Evolution of Ideas,347305,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315039,6.77857,7.9226,4.5809,779,6570,thing,Inventions: Evolution of Ideas,1,4,150,150,60,2024,"1,2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Irish Gauge,161882,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79740406,6.54025,7.15837,2.3367,1216,5601,thing,Irish Gauge,3,5,60,60,60,2014,"3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ishtar: Gardens of Babylon,271088,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126322934,6.34291,6.9598,2.271,1717,7060,thing,Ishtar: Gardens of Babylon,2,4,45,45,45,2019,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
La Isla,154246,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,74098448,6.46882,6.86945,2.258,1386,8871,thing,La Isla,2,4,60,60,30,2014,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Isle of Cats,281259,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,74118079,7.37395,7.62042,2.3596,191,42899,thing,The Isle of Cats,1,4,90,90,60,2019,"1,2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Isle of Skye: Druids,246646,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84110400,6.19337,7.68426,2.25,0,5046,thing,Isle of Skye: Druids,2,5,75,75,60,2018,"2,3,4,5",3,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Isle of Skye: From Chieftain to King,176494,8,0,0,1,0,0,0,0,0,0,0,3,,,,,,73061749,7.21454,7.38931,2.2541,290,35734,thing,Isle of Skye: From Chieftain to King,2,5,50,50,30,2015,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Isle of Skye: Journeyman,232226,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84110408,6.13994,7.25331,3.1622,0,6532,thing,Isle of Skye: Journeyman,2,5,75,75,75,2017,"2,3,4,5",4,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Isle of Trains: All Aboard,355224,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,115343671,6.08643,6.9245,2.2456,2701,4172,thing,Isle of Trains: All Aboard,1,4,60,60,60,2023,"1,2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Islet,392473,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,115344223,5.61713,6.83873,1.8333,8498,472,thing,Islet,1,4,40,40,20,2023,"1,2,3,4","1,2",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Istanbul: Big Box,251219,8,0,0,1,0,0,0,0,0,0,0,3,,,,,,72608763,7.16249,7.99556,2.4741,0,13232,thing,Istanbul: Big Box,2,5,90,90,40,2018,"2,3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
It's a Wonderful Kingdom,327711,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126314317,6.43793,7.06714,2.5789,1471,8959,thing,It's a Wonderful Kingdom,1,2,45,45,45,2021,"1,2",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
It's a Wonderful World,271324,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76043966,7.38896,7.6312,2.3278,183,29528,thing,It's a Wonderful World,1,5,45,45,45,2019,"1,2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
It's a Wonderful World: Corruption & Ascension,298851,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82845009,6.69306,8.1285,2.6098,0,9271,thing,It's a Wonderful World: Corruption & Ascension,1,7,45,45,45,2020,"1,2,3,4,5,6,7","3,4,5",12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
It's a Wonderful World: Stretch Goals #1,301519,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87158182,5.60774,7.88286,0,0,822,thing,It's a Wonderful World: Stretch Goals #1,1,5,60,60,30,2020,,,,,,,,,,expansion,,,,,,,,,,,,,,,
It's a Wonderful World: War or Peace,298752,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82845012,6.25608,7.77035,2.4091,0,6421,thing,It's a Wonderful World: War or Peace,1,5,60,60,30,2020,"1,2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
ito,327778,6,0,0,0,0,0,0,0,1,0,0,3,,,,,,90912154,6.57105,7.33038,1.0149,1153,6782,thing,ito,2,10,10,10,10,2019,"3,4,5,6,7,8","5,6",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Iwari: Deluxe Edition,314530,7,0,0,1,0,0,0,0,0,0,0,3,,,,,,74392446,6.06287,7.63941,2.4074,0,2054,thing,Iwari: Deluxe Edition,1,6,45,45,45,2020,"1,2,3,4,5","3,4",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
翡�??��?�?(Jade Merchant),297555,8,0,0,1,0,0,0,0,0,0,0,3,,,,,,128840934,5.50909,6.03947,1,22652,42,thing,翡�??��?�?(Jade Merchant),2,5,20,20,20,2019,"3,4",3,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Jaipur,54043,8,0,0,1,0,0,0,0,0,0,0,3,,,,,,72633792,7.36295,7.48152,1.4641,204,94489,thing,Jaipur,2,2,30,30,30,2009,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Jalape-NO!,206,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107696612,5.6378,6.36678,1.4,7784,1085,thing,Jalape-NO!,3,9,45,45,45,1998,"3,4,5,6,7,8,9",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Jambo,12002,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126808652,6.65019,6.98454,2.0733,999,10690,thing,Jambo,2,2,45,45,45,2004,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Jams-Taking,445511,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,133448142,0,5.20833,0,0,16,thing,Jams-Taking,3,4,45,45,30,2025,,,,,,,,,,standalone,,,,,,,,,,,,,,,
JamSumo (Second Edition),312182,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,78592780,5.5593,7.49265,1,12112,90,thing,JamSumo (Second Edition),2,5,30,30,30,2020,"2,3,4,5",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Jekyll & Hyde vs Scotland Yard,377793,0,0,0,1,0,0,1,0,1,0,0,1,,,,,,115344741,6.06624,7.28645,2.125,2804,3460,thing,Jekyll & Hyde vs Scotland Yard,2,2,20,20,20,2023,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Jekyll vs. Hyde,297129,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,86327529,6.65417,7.17627,1.8676,992,9655,thing,Jekyll vs. Hyde,2,2,30,30,30,2021,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Jiangnan: Life of Gentry,342674,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100326512,5.68228,7.43283,3.5833,6628,539,thing,Jiangnan: Life of Gentry,1,5,90,90,60,2022,"2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Joan of Arc: Orléans Draw & Write,364641,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,103918710,6.19247,7.19931,2.4048,2248,3868,thing,Joan of Arc: Orléans Draw & Write,1,5,45,45,30,2022,"1,2,3,4","2,3",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
John Company: Second Edition,332686,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126581695,7.34128,8.25295,4.4649,213,9923,thing,John Company: Second Edition,1,6,240,240,90,2022,"1,3,4,5,6","4,5",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
John Silver,21463,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126320334,5.56143,6.04762,1.7059,11905,504,thing,John Silver,2,4,30,30,30,2006,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Joking Hazard,193621,2,0,0,0,0,0,0,0,0,0,0,3,,,,,,141723393,5.95088,6.21632,1.03,3463,17246,thing,Joking Hazard,3,10,90,90,30,2016,"3,4,5,6,7",5,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Jokkmokk: The Winter Market,388570,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315440,5.71704,7.05613,1.3333,5910,774,thing,Jokkmokk: The Winter Market,1,5,45,45,45,2023,"2,3,4","3,4",8+,,,,,,,standalone,,,,,,,,,,,,,,,
Joraku,180901,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,72596192,6.27265,7.19341,2.2174,1946,3775,thing,Joraku,3,4,60,60,30,2015,"3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
JOYRIDE DUEL: Next Gen,399318,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126039213,5.60122,7.53859,2,9220,474,thing,JOYRIDE DUEL: Next Gen,2,2,40,40,20,2025,2,2,Up to 10,,,,,,,standalone,,,,,,,,,,,,,,,
Joyride: Big Day Out,399315,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126039216,5.53287,8.09727,0,0,200,thing,Joyride: Big Day Out,2,4,60,60,30,2024,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Joyride: Downtown,399317,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,125933948,5.53619,7.96364,0,0,216,thing,Joyride: Downtown,2,4,60,60,30,2024,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Joyride: High Seas,424622,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,125933945,5.5603,7.80598,0,0,433,thing,Joyride: High Seas,2,4,60,60,30,2024,,,,,,,,,,expansion,,,,,,,,,,,,,,,
JOYRIDE: Survival of the Fastest,371183,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,125933953,6.01511,7.32043,2.2609,3055,1635,thing,JOYRIDE: Survival of the Fastest,2,4,60,60,30,2024,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Joyride: Turbo,424809,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126039209,5.8093,8.20236,2.7143,0,719,thing,Joyride: Turbo,2,4,70,70,20,2024,"2,3,4","3,4",8+,,,,,,,standalone,,,,,,,,,,,,,,,
Joyride: Unleashed,424621,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126039222,5.54624,8.0435,0,0,334,thing,Joyride: Unleashed,2,4,60,60,30,2025,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Jubako,300095,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126553414,5.62889,6.80277,1.6667,8061,662,thing,Jubako,2,4,30,30,20,2020,"2,3,4",2,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Juicy Fruits,325698,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90147514,6.32723,6.99302,2.0143,1765,6965,thing,Juicy Fruits,1,4,50,50,20,2021,"1,2,3,4",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Juicy Fruits: Mystic Island,407063,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315844,5.54668,7.42951,0,0,674,thing,Juicy Fruits: Mystic Island,1,4,50,50,20,2024,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Ein Junge und ein Riese,410006,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126320337,0,7.01818,0,0,65,thing,Ein Junge und ein Riese,2,4,30,30,30,2023,"3,4",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Junk Art,193042,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,73728235,6.91101,7.34841,1.1964,603,12097,thing,Junk Art,2,6,30,30,30,2016,"2,3,4,5,6","4,5,6",6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Junk Drawer,362366,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,115344092,5.84289,6.93253,1.1765,4324,1134,thing,Junk Drawer,1,4,25,25,15,2023,"1,2,3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Junta,242,0,1,0,0,0,0,0,0,1,0,0,3,,,,,,133970493,6.29921,6.68837,2.8577,1844,10081,thing,Junta,2,7,240,240,240,1979,"5,6,7",7,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Junta: Las Cartas,192777,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80182783,5.5974,6.48519,2.0909,9421,974,thing,Junta: Las Cartas,3,6,60,60,45,2016,"5,6",6,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Just One,254640,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,94487529,7.43979,7.59606,1.0341,156,59345,thing,Just One,3,7,60,60,20,2018,"4,5,6,7","6,7",8+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Just One: Neue Begriffe,317124,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115627093,5.71513,7.62892,1,0,1452,thing,Just One: Neue Begriffe,3,9,20,20,20,2020,"4,5,6,7,8,9",,,,,,,,,expansion,,,,,,,,,,,,,,,
Justice,395004,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,127334803,0,5.38889,2,0,87,thing,Justice,3,5,60,60,45,2024,,,,,,,,,,standalone,,,,,,,,,,,,,,,
K2: Big Box,307621,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,73646075,5.74418,7.67242,2.1875,0,883,thing,K2: Big Box,1,5,60,60,60,2020,"1,2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kabuki Tricks,413087,0,0,0,1,0,0,0,0,1,0,0,3,,,,,,126320342,5.56969,6.83507,1.1667,11223,395,thing,Kabuki Tricks,2,5,30,30,20,2024,"3,4,5",4,12+,,,,,,,standalone,,,,,,,,,,,,,,,
Kabuto Sumo,320390,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,86845060,6.26097,6.71907,1.1549,1981,9379,thing,Kabuto Sumo,2,4,15,15,15,2021,"2,3,4",2,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Kabuto Sumo: Insect All-Stars,331736,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,86845061,5.77181,7.20392,1.2,0,3100,thing,Kabuto Sumo: Insect All-Stars,2,4,15,15,15,2021,"1,2,3,4","2,4",4+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Kaispeicher,78750,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315189,5.96187,7.48802,2.5185,0,1297,thing,Kaispeicher,2,5,90,90,60,2012,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Kami Nine,251560,0,1,0,1,0,0,0,0,1,0,0,3,,,,,,133458111,0,6.27778,2,0,20,thing,Kami Nine,3,5,30,30,15,2015,4,4,,,,,,,,standalone,,,,,,,,,,,,,,,
Kanagawa,200147,7,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596267,6.68034,7.00428,2,941,14985,thing,Kanagawa,2,4,45,45,45,2016,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kanagawa: Yokai,264398,7,0,0,0,0,0,0,0,1,0,0,3,,,,,,72596271,5.79693,7.23462,1.7143,0,2514,thing,Kanagawa: Yokai,2,4,45,45,45,2019,"3,4",4,12+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Kanban EV,284378,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82081047,7.79813,8.38048,4.2952,46,16268,thing,Kanban EV,1,4,180,180,60,2020,"1,2,3,4",3,14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kanban EV: Upgrade Pack,321238,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,82081053,5.95671,8.31144,3.7273,0,3940,thing,Kanban EV: Upgrade Pack,1,4,180,180,60,2021,"1,2,3,4",3,12+,,,,,,,expansion,,,,,,,,,,,,,,,
Kansas City: The Trick-Taking Game,424451,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,133671145,5.58424,7.27611,2,10186,158,thing,Kansas City: The Trick-Taking Game,4,5,45,45,45,2024,"4,5",4,,,,,,,,standalone,,,,,,,,,,,,,,,
Karuba,183251,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90989096,6.86498,7.16367,1.4212,658,17388,thing,Karuba,2,4,40,40,30,2015,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Karuba: The Card Game,235465,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,91524997,5.69892,6.31174,1.25,6259,1301,thing,Karuba: The Card Game,2,6,15,15,10,2017,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Karvi,399806,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126682541,5.99916,7.23509,3.3922,3165,1741,thing,Karvi,2,4,180,180,120,2023,"2,3,4",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kathmandu,409031,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,125933933,5.70495,7.15229,2.3,6131,821,thing,Kathmandu,2,4,75,75,60,2024,"2,3,4",4,10,,,,,,,standalone,,,,,,,,,,,,,,,
Kawasaki Factory 20th Anniversary Box,399013,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126323274,0,7.625,0,0,28,thing,Kawasaki Factory 20th Anniversary Box,0,0,0,0,0,2023,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Kbernestich,377303,0,0,0,1,0,0,0,0,1,0,1,3,,,,,,126320348,5.55024,8.12444,2,13037,73,thing,Kbernestich,3,4,45,45,30,2022,4,4,,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Kemet: Blood and Sand,297562,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73086893,7.19491,7.9128,3.1871,306,11302,thing,Kemet: Blood and Sand,2,5,180,180,90,2021,"3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kemet: Blood and Sand ??Book of the Dead,313475,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83789988,5.77109,7.57784,3,0,3901,thing,Kemet: Blood and Sand ??Book of the Dead,2,5,120,120,90,2021,"2,3,4,5","3,5",14+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
The Key: Escape from Strongwall Prison,371449,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126323465,5.55719,7.2494,2.25,12312,320,thing,The Key: Escape from Strongwall Prison,1,4,45,45,45,2022,"1,2,3,4",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Keyflower,122515,0,0,0,0,0,0,1,1,0,0,0,3,,,,,,73090373,7.50385,7.7117,3.334,131,28120,thing,Keyflower,2,6,120,120,90,2012,"2,3,4,5,6",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Keystone: North America,329939,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126323454,6.00338,7.21787,2.2391,3126,2478,thing,Keystone: North America,1,4,60,60,30,2022,"1,2,3,4",1,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Kill Doctor Lucky,257,2,1,0,1,0,0,0,0,0,0,0,3,,,,,,131634540,5.94487,6.15578,1.6417,3503,13369,thing,Kill Doctor Lucky,3,8,45,45,45,1996,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
King and Peasant,408019,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,141109557,5.51767,7.16765,1,19819,92,thing,King and Peasant,2,2,15,15,10,2025,2,2,,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
